File Creation Date: 2021/03/02 09:56:49
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0010.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;Pt100 (R<250Ohm);Disabled;Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;Pt100 (R<250Ohm);Disabled;Ch9;Pt100 (R<250Ohm);Disabled;Ch10;Pt100 (R<250Ohm);Disabled;Ch11;VW f<1600Hz;NTC (R>250Ohm);Ch12;VW f<1600Hz;NTC (R>250Ohm);Ch13;VW f<1600Hz;NTC (R>250Ohm);Ch14;VW f<1600Hz;NTC (R>250Ohm);Ch15;Disabled;Disabled;Ch16;Disabled;Disabled
2021/03/02 09:56:49;|;10.4;21.3;|;109.27;Dis.;|;109.26;Dis.;|;109.25;Dis.;|;1216.1;3204.9;|;1229.0;3186.2;|;1231.8;3120.3;|;1220.9;3117.9;|;109.15;Dis.;|;109.17;Dis.;|;109.17;Dis.;|;1233.6;3186.5;|;1241.4;3158.1;|;1221.2;2974.2;|;1225.7;3037.2;|;Dis.;Dis.;|;Dis.;Dis.
File Creation Date: 2021/03/02 10:56:50
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0010.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;Pt100 (R<250Ohm);Disabled;Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;Pt100 (R<250Ohm);Disabled;Ch9;Pt100 (R<250Ohm);Disabled;Ch10;Pt100 (R<250Ohm);Disabled;Ch11;VW f<1600Hz;NTC (R>250Ohm);Ch12;VW f<1600Hz;NTC (R>250Ohm);Ch13;VW f<1600Hz;NTC (R>250Ohm);Ch14;VW f<1600Hz;NTC (R>250Ohm);Ch15;Disabled;Disabled;Ch16;Disabled;Disabled
2021/03/02 10:56:50;|;10.4;21.3;|;109.27;Dis.;|;109.25;Dis.;|;109.25;Dis.;|;1216.1;3204.4;|;1229.0;3186.2;|;1231.8;3120.5;|;1220.9;3118.0;|;109.15;Dis.;|;109.17;Dis.;|;109.17;Dis.;|;1233.7;3186.3;|;1241.4;3158.1;|;1221.2;2974.5;|;1225.7;3037.3;|;Dis.;Dis.;|;Dis.;Dis.
