File Creation Date: 2021/03/02 10:17:26
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0004.csv
;Loc.;Vmux;Tmux;Ch1;VW f<1600Hz;NTC (R>250Ohm);Ch2;VW f<1600Hz;NTC (R>250Ohm);Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f>1600Hz;Disabled;Ch5;VW f>1600Hz;NTC (R>250Ohm);Ch6;VW f>1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;VW f<1600Hz;NTC (R>250Ohm);Ch9;VW f<1600Hz;NTC (R>250Ohm);Ch10;VW f<1600Hz;NTC (R>250Ohm);Ch11;VW f>1600Hz;NTC (R>250Ohm);Ch12;VW f>1600Hz;NTC (R>250Ohm);Ch13;VW f>1600Hz;NTC (R>250Ohm);Ch14;VW f<1600Hz;NTC (R>250Ohm);Ch15;VW f<1600Hz;NTC (R>250Ohm);Ch16;VW f<1600Hz;NTC (R>250Ohm)
2021/03/02 10:17:27;|;9.8;21.9;|;1213.9;3171.5;|;1231.2;3167.0;|;1228.7;3168.0;|;2718.9;Dis.;|;2684.3;2936.8;|;2681.4;2951.8;|;1230.3;2934.9;|;1232.9;2922.7;|;1230.5;2963.4;|;1233.0;2960.8;|;2784.8;2901.3;|;2720.0;2934.7;|;2596.1;2942.2;|;1223.4;2914.7;|;1231.5;2898.3;|;1202.5;2959.3
File Creation Date: 2021/03/02 11:17:28
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0004.csv
;Loc.;Vmux;Tmux;Ch1;VW f<1600Hz;NTC (R>250Ohm);Ch2;VW f<1600Hz;NTC (R>250Ohm);Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f>1600Hz;Disabled;Ch5;VW f>1600Hz;NTC (R>250Ohm);Ch6;VW f>1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;VW f<1600Hz;NTC (R>250Ohm);Ch9;VW f<1600Hz;NTC (R>250Ohm);Ch10;VW f<1600Hz;NTC (R>250Ohm);Ch11;VW f>1600Hz;NTC (R>250Ohm);Ch12;VW f>1600Hz;NTC (R>250Ohm);Ch13;VW f>1600Hz;NTC (R>250Ohm);Ch14;VW f<1600Hz;NTC (R>250Ohm);Ch15;VW f<1600Hz;NTC (R>250Ohm);Ch16;VW f<1600Hz;NTC (R>250Ohm)
