File Creation Date: 2021/03/02 09:52:30
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0006.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;Pt100 (R<250Ohm);Disabled;Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;Pt100 (R<250Ohm);Disabled;Ch9;Pt100 (R<250Ohm);Disabled;Ch10;Pt100 (R<250Ohm);Disabled;Ch11;VW f<1600Hz;NTC (R>250Ohm);Ch12;VW f<1600Hz;NTC (R>250Ohm);Ch13;VW f<1600Hz;NTC (R>250Ohm);Ch14;VW f<1600Hz;NTC (R>250Ohm);Ch15;Disabled;Disabled;Ch16;Disabled;Disabled
2021/03/02 09:52:30;|;9.8;20.0;|;108.98;Dis.;|;108.99;Dis.;|;109.03;Dis.;|;1223.7;3212.0;|;1231.8;3205.7;|;1243.8;3110.4;|;1231.2;3134.9;|;108.64;Dis.;|;108.68;Dis.;|;108.69;Dis.;|;1227.9;3245.2;|;1228.1;3233.6;|;1235.8;3196.5;|;1237.1;3188.0;|;Dis.;Dis.;|;Dis.;Dis.
File Creation Date: 2021/03/02 10:52:30
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0006.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;Pt100 (R<250Ohm);Disabled;Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;Pt100 (R<250Ohm);Disabled;Ch9;Pt100 (R<250Ohm);Disabled;Ch10;Pt100 (R<250Ohm);Disabled;Ch11;VW f<1600Hz;NTC (R>250Ohm);Ch12;VW f<1600Hz;NTC (R>250Ohm);Ch13;VW f<1600Hz;NTC (R>250Ohm);Ch14;VW f<1600Hz;NTC (R>250Ohm);Ch15;Disabled;Disabled;Ch16;Disabled;Disabled
2021/03/02 10:52:30;|;9.8;20.1;|;108.98;Dis.;|;108.99;Dis.;|;109.03;Dis.;|;1223.7;3211.5;|;1231.8;3205.6;|;1243.8;3110.4;|;1231.2;3134.9;|;108.64;Dis.;|;108.69;Dis.;|;108.69;Dis.;|;1227.9;3245.3;|;1228.1;3233.6;|;1235.8;3196.5;|;1237.1;3187.9;|;Dis.;Dis.;|;Dis.;Dis.
