File Creation Date: 2021/03/02 10:14:50
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0001.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;Pt100 (R<250Ohm);Disabled;Ch8;Pt100 (R<250Ohm);Disabled
2021/03/02 10:14:50;|;9.9;22.1;|;108.97;Dis.;|;108.94;Dis.;|;1231.0;3191.1;|;1232.3;3181.6;|;1231.2;2980.1;|;1217.5;3028.3;|;109.09;Dis.;|;108.92;Dis.
File Creation Date: 2021/03/02 11:14:51
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0001.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;Pt100 (R<250Ohm);Disabled;Ch8;Pt100 (R<250Ohm);Disabled
2021/03/02 11:14:51;|;9.9;22.1;|;108.97;Dis.;|;108.94;Dis.;|;1231.0;3191.0;|;1232.2;3181.6;|;1231.2;2980.2;|;1217.5;3028.3;|;109.09;Dis.;|;108.92;Dis.
File Creation Date: 2021/03/02 12:15:09
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0001.csv
;Loc.;Vmux;Tmux;Ch1;Pt100 (R<250Ohm);Disabled;Ch2;Pt100 (R<250Ohm);Disabled;Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;Pt100 (R<250Ohm);Disabled;Ch8;Pt100 (R<250Ohm);Disabled
2021/03/02 12:15:09;|;9.9;22.1;|;108.97;Dis.;|;108.95;Dis.;|;1231.0;3191.0;|;1232.3;3181.7;|;1231.2;2980.2;|;1217.5;3028.3;|;109.09;Dis.;|;108.93;Dis.
File Creation Date: 2021/03/02 13:15:09
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0001.csv
