File Creation Date: 2021/03/02 10:18:31
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0005.csv
;Loc.;Vmux;Tmux;Ch1;VW f<1600Hz;NTC (R>250Ohm);Ch2;VW f<1600Hz;NTC (R>250Ohm);Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;VW f<1600Hz;NTC (R>250Ohm);Ch9;VW f<1600Hz;NTC (R>250Ohm);Ch10;Disabled;Disabled;Ch11;Disabled;Disabled;Ch12;Disabled;Disabled;Ch13;Disabled;Disabled;Ch14;Disabled;Disabled;Ch15;Disabled;Disabled;Ch16;Disabled;Disabled
2021/03/02 10:18:31;|;9.8;22.0;|;1234.9;2942.0;|;1211.2;3174.2;|;1218.7;3185.4;|;1225.7;3162.4;|;1216.6;3165.8;|;1211.0;2931.7;|;1228.7;2990.4;|;1230.3;2954.0;|;1231.2;2948.4;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.
File Creation Date: 2021/03/02 11:18:31
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
SD path: a:/data/mux/DT0005.csv
;Loc.;Vmux;Tmux;Ch1;VW f<1600Hz;NTC (R>250Ohm);Ch2;VW f<1600Hz;NTC (R>250Ohm);Ch3;VW f<1600Hz;NTC (R>250Ohm);Ch4;VW f<1600Hz;NTC (R>250Ohm);Ch5;VW f<1600Hz;NTC (R>250Ohm);Ch6;VW f<1600Hz;NTC (R>250Ohm);Ch7;VW f<1600Hz;NTC (R>250Ohm);Ch8;VW f<1600Hz;NTC (R>250Ohm);Ch9;VW f<1600Hz;NTC (R>250Ohm);Ch10;Disabled;Disabled;Ch11;Disabled;Disabled;Ch12;Disabled;Disabled;Ch13;Disabled;Disabled;Ch14;Disabled;Disabled;Ch15;Disabled;Disabled;Ch16;Disabled;Disabled
2021/03/02 11:18:31;|;9.8;22.0;|;1234.9;2941.9;|;1211.1;3173.2;|;1218.6;3184.3;|;1225.7;3162.3;|;1216.6;3165.8;|;1211.0;2932.0;|;1228.8;2990.8;|;1230.3;2954.1;|;1231.2;2948.6;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.;|;Dis.;Dis.
File Creation Date: 2021/03/02 12:18:50
G8 id0001
IP: 192.168.1.30
Subnet: 255.255.255.0
Gateway: 192.168.1.234
